Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
AI4941   MAA   Chennai                             STV   Surat                               05:00  08:31  3h 31m
G81213   MAA   Chennai                             JAI   Jaipur                              05:45  07:34  1h 49m
SG8990   MAA   Chennai                             CCJ   Calicut                             05:45  08:29  2h 44m
UK2079   MAA   Chennai                             IXC   Chandigarh                          06:30  09:34  3h 4m
6E6964   MAA   Chennai                             IXM   Madurai                             06:45  09:42  2h 57m
SG6809   MAA   Chennai                             IXE   Mangalore                           07:00  07:47  0h 47m
G82621   MAA   Chennai                             STV   Surat                               07:15  09:58  2h 43m
AI9384   MAA   Chennai                             IMF   Imphal                              08:00  08:57  0h 57m
AI6202   MAA   Chennai                             PNQ   Pune                                08:15  09:33  1h 18m
AI2722   MAA   Chennai                             CNN   Kannur                              09:00  11:41  2h 41m
SG4215   MAA   Chennai                             IXE   Mangalore                           09:15  11:19  2h 4m
SG8238   MAA   Chennai                             CJB   Coimbatore                          10:15  12:00  1h 45m
UK1887   MAA   Chennai                             CNN   Kannur                              10:30  12:16  1h 46m
AI8027   MAA   Chennai                             TRZ   Tiruchirappalli                     11:15  13:59  2h 44m
SG6254   MAA   Chennai                             PNQ   Pune                                12:15  14:27  2h 12m
SG4799   MAA   Chennai                             CJB   Coimbatore                          13:00  14:07  1h 7m
6E9595   MAA   Chennai                             PNQ   Pune                                13:30  14:37  1h 7m
AI950    MAA   Chennai                             VTZ   Visakhapatnam                       13:30  16:29  2h 59m
SG4947   MAA   Chennai                             TRZ   Tiruchirappalli                     13:30  16:55  3h 25m
AI8967   MAA   Chennai                             CNN   Kannur                              14:00  14:56  0h 56m
AI4458   MAA   Chennai                             IMF   Imphal                              15:30  18:56  3h 26m
AI6737   MAA   Chennai                             IXC   Chandigarh                          15:30  17:28  1h 58m
UK1970   MAA   Chennai                             CCJ   Calicut                             15:45  19:32  3h 47m
AI9607   MAA   Chennai                             CCJ   Calicut                             17:15  20:08  2h 53m
SG8924   MAA   Chennai                             TRZ   Tiruchirappalli                     17:15  18:23  1h 8m
6E2042   MAA   Chennai                             TRV   Thiruvananthapuram                  18:00  21:51  3h 51m
AI3996   MAA   Chennai                             CJB   Coimbatore                          18:00  21:32  3h 32m
G89779   MAA   Chennai                             STV   Surat                               18:00  19:51  1h 51m
SG7930   MAA   Chennai                             IXE   Mangalore                           18:00  21:01  3h 1m
6E5262   MAA   Chennai                             STV   Surat                               18:15  19:36  1h 21m
AI3449   MAA   Chennai                             IXM   Madurai                             18:30  20:10  1h 40m
AI7414   MAA   Chennai                             CNN   Kannur                              18:30  20:28  1h 58m
SG7569   MAA   Chennai                             CJB   Coimbatore                          18:30  20:49  2h 19m
6E3064   MAA   Chennai                             TRV   Thiruvananthapuram                  18:45  21:29  2h 44m
AI3452   MAA   Chennai                             CCJ   Calicut                             19:00  21:24  2h 24m
G81921   MAA   Chennai                             IXE   Mangalore                           19:00  22:49  3h 49m
6E4144   MAA   Chennai                             JAI   Jaipur                              19:15  20:54  1h 39m
UK8111   MAA   Chennai                             JAI   Jaipur                              19:45  21:21  1h 36m
AI8698   MAA   Chennai                             JAI   Jaipur                              20:45  22:33  1h 48m
6E6281   MAA   Chennai                             VTZ   Visakhapatnam                       21:15  01:07  3h 52m
AI2318   MAA   Chennai                             TRV   Thiruvananthapuram                  21:15  22:47  1h 32m
6E8951   MAA   Chennai                             PNQ   Pune                                21:45  23:45  2h 0m
AI1984   MAA   Chennai                             IMF   Imphal                              23:00  23:55  0h 55m
6E9709   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             05:15  08:05  2h 50m
AI3240   BOM   Mumbai (Chhatrapati Shivaji)        IMF   Imphal                              05:15  07:32  2h 17m
6E3088   BOM   Mumbai (Chhatrapati Shivaji)        CCJ   Calicut                             05:45  09:00  3h 15m
G84580   BOM   Mumbai (Chhatrapati Shivaji)        IXM   Madurai                             05:45  08:13  2h 28m
AI3150   BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          06:30  09:55  3h 25m
G86385   BOM   Mumbai (Chhatrapati Shivaji)        VTZ   Visakhapatnam                       07:00  10:15  3h 15m
