Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
6E1545   MAA   Chennai                             JAI   Jaipur                              05:15  06:12  0h 57m
AI6313   MAA   Chennai                             TRV   Thiruvananthapuram                  05:15  07:06  1h 51m
UK1852   MAA   Chennai                             CNN   Kannur                              05:15  06:59  1h 44m
6E5844   MAA   Chennai                             CJB   Coimbatore                          05:30  07:25  1h 55m
UK446    MAA   Chennai                             JAI   Jaipur                              06:15  10:08  3h 53m
UK9897   MAA   Chennai                             VTZ   Visakhapatnam                       06:45  08:08  1h 23m
6E5748   MAA   Chennai                             TRZ   Tiruchirappalli                     07:00  10:47  3h 47m
6E8173   MAA   Chennai                             IXE   Mangalore                           07:45  10:04  2h 19m
6E5454   MAA   Chennai                             CNN   Kannur                              08:00  10:03  2h 3m
AI751    MAA   Chennai                             STV   Surat                               08:00  09:44  1h 44m
6E5066   MAA   Chennai                             TRV   Thiruvananthapuram                  08:30  09:40  1h 10m
AI4740   MAA   Chennai                             IXC   Chandigarh                          08:45  09:41  0h 56m
UK3363   MAA   Chennai                             IXE   Mangalore                           08:45  11:18  2h 33m
G82829   MAA   Chennai                             CNN   Kannur                              09:15  10:34  1h 19m
6E1526   MAA   Chennai                             IMF   Imphal                              10:00  12:15  2h 15m
UK8020   MAA   Chennai                             TRV   Thiruvananthapuram                  10:00  13:16  3h 16m
6E1737   MAA   Chennai                             TRV   Thiruvananthapuram                  10:30  11:34  1h 4m
UK794    MAA   Chennai                             TRZ   Tiruchirappalli                     10:30  11:29  0h 59m
UK8839   MAA   Chennai                             CCJ   Calicut                             10:30  13:22  2h 52m
SG3588   MAA   Chennai                             CJB   Coimbatore                          11:15  13:36  2h 21m
SG113    MAA   Chennai                             STV   Surat                               13:00  16:38  3h 38m
UK9328   MAA   Chennai                             PNQ   Pune                                13:00  15:13  2h 13m
G88774   MAA   Chennai                             JAI   Jaipur                              13:30  16:47  3h 17m
UK2394   VTZ   Visakhapatnam                       STV   Surat                               13:30  14:59  1h 29m
UK6342   MAA   Chennai                             IMF   Imphal                              13:30  17:15  3h 45m
SG7732   MAA   Chennai                             PNQ   Pune                                14:15  17:14  2h 59m
UK1992   MAA   Chennai                             IXM   Madurai                             14:15  18:13  3h 58m
6E1616   MAA   Chennai                             CJB   Coimbatore                          15:00  18:03  3h 3m
AI2207   MAA   Chennai                             IXM   Madurai                             15:30  19:19  3h 49m
AI8726   MAA   Chennai                             VTZ   Visakhapatnam                       15:45  19:07  3h 22m
AI3665   MAA   Chennai                             TRZ   Tiruchirappalli                     16:00  17:02  1h 2m
UK9920   MAA   Chennai                             CJB   Coimbatore                          16:00  18:36  2h 36m
G8452    MAA   Chennai                             IXC   Chandigarh                          18:45  20:39  1h 54m
UK4717   MAA   Chennai                             IXE   Mangalore                           19:00  21:38  2h 38m
SG4634   MAA   Chennai                             CCJ   Calicut                             19:45  21:07  1h 22m
SG4476   MAA   Chennai                             IXE   Mangalore                           20:00  22:25  2h 25m
6E1018   MAA   Chennai                             IXC   Chandigarh                          20:15  23:39  3h 24m
SG8243   MAA   Chennai                             CNN   Kannur                              20:15  21:13  0h 58m
AI8672   MAA   Chennai                             STV   Surat                               21:15  00:52  3h 37m
G83196   MAA   Chennai                             TRZ   Tiruchirappalli                     21:15  01:00  3h 45m
UK5210   BOM   Mumbai (Chhatrapati Shivaji)        TRZ   Tiruchirappalli                     05:00  08:27  3h 27m
6E9024   BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          05:30  06:45  1h 15m
6E1370   BOM   Mumbai (Chhatrapati Shivaji)        IXM   Madurai                             05:45  08:30  2h 45m
6E4588   BOM   Mumbai (Chhatrapati Shivaji)        TRZ   Tiruchirappalli                     06:15  08:24  2h 9m
6E7527   BOM   Mumbai (Chhatrapati Shivaji)        VTZ   Visakhapatnam                       06:15  09:06  2h 51m
6E5468   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             06:30  09:04  2h 34m
AI3465   BOM   Mumbai (Chhatrapati Shivaji)        CJB   Coimbatore                          06:30  10:23  3h 53m
SG2864   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             06:30  08:14  1h 44m
AI9928   BOM   Mumbai (Chhatrapati Shivaji)        TRV   Thiruvananthapuram                  06:45  07:53  1h 8m
UK3369   BOM   Mumbai (Chhatrapati Shivaji)        IXE   Mangalore                           07:15  09:57  2h 42m
6E6706   BOM   Mumbai (Chhatrapati Shivaji)        JAI   Jaipur                              07:30  08:27  0h 57m
