Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
SG2642   MAA   Chennai                             IXE   Mangalore                           05:15  08:33  3h 18m
AI9387   MAA   Chennai                             STV   Surat                               05:30  08:45  3h 15m
AI9893   MAA   Chennai                             CJB   Coimbatore                          07:00  09:48  2h 48m
6E2020   MAA   Chennai                             PNQ   Pune                                07:30  09:46  2h 16m
AI419    MAA   Chennai                             VTZ   Visakhapatnam                       07:30  10:33  3h 3m
G85678   MAA   Chennai                             CJB   Coimbatore                          08:00  11:29  3h 29m
6E2885   MAA   Chennai                             VTZ   Visakhapatnam                       08:15  11:34  3h 19m
6E8935   MAA   Chennai                             CNN   Kannur                              08:30  11:06  2h 36m
SG6572   MAA   Chennai                             CJB   Coimbatore                          08:30  10:08  1h 38m
6E5244   MAA   Chennai                             IXE   Mangalore                           08:45  10:55  2h 10m
SG1529   MAA   Chennai                             TRV   Thiruvananthapuram                  09:00  12:38  3h 38m
6E6838   MAA   Chennai                             CCJ   Calicut                             10:00  13:26  3h 26m
SG1830   MAA   Chennai                             IXE   Mangalore                           10:45  13:22  2h 37m
6E848    MAA   Chennai                             JAI   Jaipur                              11:15  13:00  1h 45m
G87780   MAA   Chennai                             IXC   Chandigarh                          13:00  16:33  3h 33m
UK4752   MAA   Chennai                             TRV   Thiruvananthapuram                  13:00  16:17  3h 17m
6E8803   MAA   Chennai                             JAI   Jaipur                              13:15  15:04  1h 49m
G84832   MAA   Chennai                             TRV   Thiruvananthapuram                  13:15  15:08  1h 53m
AI938    MAA   Chennai                             STV   Surat                               14:15  17:40  3h 25m
AI1263   MAA   Chennai                             TRZ   Tiruchirappalli                     14:45  17:53  3h 8m
UK8479   MAA   Chennai                             PNQ   Pune                                15:00  17:33  2h 33m
6E3439   MAA   Chennai                             IXM   Madurai                             15:15  16:07  0h 52m
AI2603   MAA   Chennai                             PNQ   Pune                                15:15  17:11  1h 56m
UK6845   MAA   Chennai                             IXM   Madurai                             15:15  18:30  3h 15m
6E8979   MAA   Chennai                             VTZ   Visakhapatnam                       16:15  17:30  1h 15m
SG5462   MAA   Chennai                             CCJ   Calicut                             16:15  18:31  2h 16m
