Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
6E5609   MAA   Chennai                             TRZ   Tiruchirappalli                     05:15  08:02  2h 47m
6E9045   MAA   Chennai                             IXM   Madurai                             05:15  06:27  1h 12m
UK4922   MAA   Chennai                             IXC   Chandigarh                          05:15  06:14  0h 59m
SG6613   MAA   Chennai                             IXE   Mangalore                           07:15  09:32  2h 17m
6E3110   MAA   Chennai                             CNN   Kannur                              07:30  09:04  1h 34m
6E6659   MAA   Chennai                             IXE   Mangalore                           07:45  11:29  3h 44m
UK2487   MAA   Chennai                             STV   Surat                               08:00  10:19  2h 19m
UK7319   MAA   Chennai                             IMF   Imphal                              09:00  12:04  3h 4m
AI8230   MAA   Chennai                             PNQ   Pune                                09:30  12:15  2h 45m
6E1888   MAA   Chennai                             JAI   Jaipur                              10:15  11:15  1h 0m
AI6802   MAA   Chennai                             JAI   Jaipur                              10:15  14:00  3h 45m
6E1007   MAA   Chennai                             CJB   Coimbatore                          10:45  11:53  1h 8m
UK2517   MAA   Chennai                             TRV   Thiruvananthapuram                  10:45  13:56  3h 11m
AI3491   MAA   Chennai                             TRZ   Tiruchirappalli                     11:00  14:55  3h 55m
AI6608   MAA   Chennai                             IXE   Mangalore                           11:15  12:21  1h 6m
UK4394   MAA   Chennai                             CCJ   Calicut                             11:15  12:43  1h 28m
AI8140   MAA   Chennai                             VTZ   Visakhapatnam                       11:30  12:29  0h 59m
G89991   MAA   Chennai                             CJB   Coimbatore                          11:45  13:01  1h 16m
UK9429   MAA   Chennai                             CJB   Coimbatore                          11:45  13:56  2h 11m
UK8931   MAA   Chennai                             CCJ   Calicut                             12:15  15:58  3h 43m
6E1720   MAA   Chennai                             TRV   Thiruvananthapuram                  13:00  14:46  1h 46m
UK7600   MAA   Chennai                             TRV   Thiruvananthapuram                  13:30  16:16  2h 46m
6E3895   MAA   Chennai                             IMF   Imphal                              14:00  15:45  1h 45m
6E9631   MAA   Chennai                             CJB   Coimbatore                          14:45  15:46  1h 1m
AI4823   MAA   Chennai                             VTZ   Visakhapatnam                       15:45  18:17  2h 32m
SG911    MAA   Chennai                             PNQ   Pune                                16:15  18:30  2h 15m
6E6556   MAA   Chennai                             IXC   Chandigarh                          17:15  19:53  2h 38m
UK7602   MAA   Chennai                             CNN   Kannur                              17:15  20:53  3h 38m
6E3441   MAA   Chennai                             IMF   Imphal                              18:30  21:40  3h 10m
AI7532   MAA   Chennai                             VTZ   Visakhapatnam                       18:30  19:22  0h 52m
G88607   MAA   Chennai                             IXE   Mangalore                           20:30  00:25  3h 55m
UK8927   MAA   Chennai                             STV   Surat                               20:30  23:01  2h 31m
UK9660   MAA   Chennai                             VTZ   Visakhapatnam                       22:00  23:41  1h 41m
G85361   MAA   Chennai                             IXM   Madurai                             22:15  00:00  1h 45m
SG3499   MAA   Chennai                             CCJ   Calicut                             22:15  02:02  3h 47m
6E279    MAA   Chennai                             IXM   Madurai                             22:45  02:15  3h 30m
6E9161   MAA   Chennai                             CNN   Kannur                              23:00  00:09  1h 9m
UK3505   BOM   Mumbai (Chhatrapati Shivaji)        TRZ   Tiruchirappalli                     05:00  08:59  3h 59m
UK6130   BOM   Mumbai (Chhatrapati Shivaji)        TRZ   Tiruchirappalli                     05:00  08:01  3h 1m
AI6629   BOM   Mumbai (Chhatrapati Shivaji)        IXM   Madurai                             05:15  06:07  0h 52m
UK9283   BOM   Mumbai (Chhatrapati Shivaji)        STV   Surat                               05:15  08:42  3h 27m
G82233   BOM   Mumbai (Chhatrapati Shivaji)        IXC   Chandigarh                          05:30  07:30  2h 0m
AI4524   BOM   Mumbai (Chhatrapati Shivaji)        TRV   Thiruvananthapuram                  06:00  08:26  2h 26m
AI1723   BOM   Mumbai (Chhatrapati Shivaji)        IMF   Imphal                              06:15  08:08  1h 53m
AI9291   BOM   Mumbai (Chhatrapati Shivaji)        IMF   Imphal                              06:30  10:12  3h 42m
AI6878   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             06:45  09:32  2h 47m
SG8189   BOM   Mumbai (Chhatrapati Shivaji)        VTZ   Visakhapatnam                       07:00  08:52  1h 52m
AI5036   BOM   Mumbai (Chhatrapati Shivaji)        TRV   Thiruvananthapuram                  07:15  10:28  3h 13m
SG9215   BOM   Mumbai (Chhatrapati Shivaji)        MAA   Chennai                             08:15  10:43  2h 28m
AI6273   BOM   Mumbai (Chhatrapati Shivaji)        STV   Surat                               08:30  09:29  0h 59m
AI4831   BOM   Mumbai (Chhatrapati Shivaji)        IXM   Madurai                             08:45  10:36  1h 51m
6E465    BOM   Mumbai (Chhatrapati Shivaji)        TRV   Thiruvananthapuram                  09:00  11:00  2h 0m
SG5843   BOM   Mumbai (Chhatrapati Shivaji)        JAI   Jaipur                              10:15  13:32  3h 17m
SG1863   BOM   Mumbai (Chhatrapati Shivaji)        JAI   Jaipur                              11:15  14:14  2h 59m
SG3026   BOM   Mumbai (Chhatrapati Shivaji)        CNN   Kannur                              11:15  13:57  2h 42m
AI8953   BOM   Mumbai (Chhatrapati Shivaji)        VTZ   Visakhapatnam                       12:15  16:02  3h 47m
G8699    BOM   Mumbai (Chhatrapati Shivaji)        CNN   Kannur                              13:00  14:38  1h 38m
UK7994   BOM   Mumbai (Chhatrapati Shivaji)        TRZ   Tiruchirappalli                     13:00  16:19  3h 19m
