Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
6E2261   MAA   Chennai                             IMF   Imphal                              05:15  07:47  2h 32m
UK3057   MAA   Chennai                             CCJ   Calicut                             05:15  06:21  1h 6m
UK5639   MAA   Chennai                             VTZ   Visakhapatnam                       06:45  10:41  3h 56m
G8312    MAA   Chennai                             JAI   Jaipur                              07:00  08:52  1h 52m
AI1532   MAA   Chennai                             VTZ   Visakhapatnam                       08:45  11:27  2h 42m
UK284    MAA   Chennai                             PNQ   Pune                                09:30  11:38  2h 8m
SG3744   MAA   Chennai                             JAI   Jaipur                              09:45  11:18  1h 33m
AI4692   MAA   Chennai                             PNQ   Pune                                10:00  13:21  3h 21m
6E2325   MAA   Chennai                             CNN   Kannur                              10:45  13:15  2h 30m
G89094   MAA   Chennai                             TRV   Thiruvananthapuram                  11:15  14:43  3h 28m
AI1495   MAA   Chennai                             TRV   Thiruvananthapuram                  11:45  15:39  3h 54m
6E808    MAA   Chennai                             IXE   Mangalore                           12:00  14:31  2h 31m
6E1542   MAA   Chennai                             TRZ   Tiruchirappalli                     12:15  14:59  2h 44m
UK4712   MAA   Chennai                             IXC   Chandigarh                          12:15  14:02  1h 47m
6E5756   MAA   Chennai                             IXM   Madurai                             12:30  13:55  1h 25m
6E5077   MAA   Chennai                             CCJ   Calicut                             13:45  17:42  3h 57m
6E9548   MAA   Chennai                             IXE   Mangalore                           13:45  15:47  2h 2m
AI7759   MAA   Chennai                             STV   Surat                               14:15  15:16  1h 1m
SG110    MAA   Chennai                             IXE   Mangalore                           14:45  16:26  1h 41m
6E6045   MAA   Chennai                             PNQ   Pune                                15:00  16:30  1h 30m
6E7258   MAA   Chennai                             CJB   Coimbatore                          15:45  19:32  3h 47m
6E5004   MAA   Chennai                             CNN   Kannur                              16:30  19:51  3h 21m
G87055   MAA   Chennai                             IXM   Madurai                             17:00  20:43  3h 43m
AI6760   MAA   Chennai                             IMF   Imphal                              17:15  18:37  1h 22m
UK720    MAA   Chennai                             CJB   Coimbatore                          17:30  19:14  1h 44m
