Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
6E2250   MAA   Chennai                             VTZ   Visakhapatnam                       05:15  08:04  2h 49m
SG906    MAA   Chennai                             CNN   Kannur                              05:15  08:35  3h 20m
SG280    MAA   Chennai                             IMF   Imphal                              06:15  08:16  2h 1m
SG998    MAA   Chennai                             PNQ   Pune                                06:30  09:35  3h 5m
AI2591   MAA   Chennai                             IXC   Chandigarh                          07:00  10:57  3h 57m
AI4727   MAA   Chennai                             JAI   Jaipur                              07:00  10:06  3h 6m
AI5727   MAA   Chennai                             IXE   Mangalore                           07:00  09:24  2h 24m
6E2405   MAA   Chennai                             CJB   Coimbatore                          07:15  08:24  1h 9m
G84596   MAA   Chennai                             CNN   Kannur                              07:15  08:51  1h 36m
UK9808   MAA   Chennai                             IMF   Imphal                              07:15  08:42  1h 27m
SG937    MAA   Chennai                             TRV   Thiruvananthapuram                  07:45  09:28  1h 43m
6E8609   MAA   Chennai                             IXE   Mangalore                           08:00  10:02  2h 2m
AI8385   MAA   Chennai                             IXC   Chandigarh                          08:00  09:41  1h 41m
UK5090   MAA   Chennai                             IMF   Imphal                              08:45  12:28  3h 43m
6E2583   MAA   Chennai                             TRV   Thiruvananthapuram                  10:15  13:47  3h 32m
SG5692   MAA   Chennai                             STV   Surat                               10:45  13:52  3h 7m
6E6589   MAA   Chennai                             IXC   Chandigarh                          12:00  13:43  1h 43m
AI1776   MAA   Chennai                             JAI   Jaipur                              12:00  13:19  1h 19m
SG2261   MAA   Chennai                             CJB   Coimbatore                          13:45  15:31  1h 46m
G88663   MAA   Chennai                             TRZ   Tiruchirappalli                     14:30  15:38  1h 8m
UK4855   MAA   Chennai                             IMF   Imphal                              15:45  18:31  2h 46m
UK5857   MAA   Chennai                             CJB   Coimbatore                          16:15  17:13  0h 58m
