Daily Indian Domestic Flight Timetable
========================================================================================================================

Flight   From  Departure City                      To    Arrival City                        Dep    Arr    Duration
------------------------------------------------------------------------------------------------------------------------
AI1899   MAA   Chennai                             CCJ   Calicut                             05:00  08:57  3h 57m
UK135    MAA   Chennai                             TRV   Thiruvananthapuram                  05:45  08:26  2h 41m
AI609    MAA   Chennai                             PNQ   Pune                                06:00  08:57  2h 57m
6E8175   MAA   Chennai                             TRV   Thiruvananthapuram                  06:45  09:31  2h 46m
6E968    MAA   Chennai                             CJB   Coimbatore                          08:15  11:04  2h 49m
UK7209   MAA   Chennai                             IXM   Madurai                             08:15  09:08  0h 53m
6E7436   MAA   Chennai                             PNQ   Pune                                09:00  10:23  1h 23m
UK5650   MAA   Chennai                             IXM   Madurai                             09:00  11:46  2h 46m
6E7076   MAA   Chennai                             CCJ   Calicut                             10:00  11:16  1h 16m
SG8360   MAA   Chennai                             IMF   Imphal                              10:45  13:01  2h 16m
UK5183   MAA   Chennai                             PNQ   Pune                                10:45  12:23  1h 38m
SG6310   TRZ   Tiruchirappalli                     MAA   Chennai                             11:30  12:54  1h 24m
AI7474   CNN   Kannur                              IMF   Imphal                              11:45  15:34  3h 49m
G8266    MAA   Chennai                             JAI   Jaipur                              11:45  14:16  2h 31m
G82958   MAA   Chennai                             STV   Surat                               12:00  15:12  3h 12m
UK7321   MAA   Chennai                             TRZ   Tiruchirappalli                     12:00  13:57  1h 57m
6E143    MAA   Chennai                             CCJ   Calicut                             12:15  14:35  2h 20m
AI2692   MAA   Chennai                             TRV   Thiruvananthapuram                  12:15  13:03  0h 48m
G83477   MAA   Chennai                             CJB   Coimbatore                          12:45  15:34  2h 49m
UK425    MAA   Chennai                             TRZ   Tiruchirappalli                     12:45  14:12  1h 27m
6E4071   MAA   Chennai                             CJB   Coimbatore                          13:15  17:13  3h 58m
AI3866   MAA   Chennai                             TRZ   Tiruchirappalli                     15:30  17:30  2h 0m
UK556    MAA   Chennai                             IXE   Mangalore                           15:30  17:55  2h 25m
SG1179   MAA   Chennai                             STV   Surat                               15:45  18:54  3h 9m
SG8071   MAA   Chennai                             JAI   Jaipur                              16:00  17:53  1h 53m
UK9744   MAA   Chennai                             IXM   Madurai                             16:30  18:49  2h 19m
6E7885   MAA   Chennai                             CJB   Coimbatore                          17:00  19:13  2h 13m
AI2079   MAA   Chennai                             IMF   Imphal                              17:00  18:32  1h 32m
G89984   MAA   Chennai                             STV   Surat                               17:00  18:30  1h 30m
G84237   MAA   Chennai                             IXC   Chandigarh                          17:30  18:28  0h 58m
6E9003   MAA   Chennai                             TRV   Thiruvananthapuram                  18:15  22:01  3h 46m
